,text,global_id,source
34,The Technical Lead shall perform code reviews of every system change before those changes may be committed to source control.,F0_REQ_00034,SRS5 - LIS - Laboratory Information System.pdf
35,The system shall provide the capability to open a pop-up window displaying information about the specific page along with links to supporting help topics upon selecting each Help The system shall display “[system name] Overview” page located under the Getting Started section of Help as default help topic page that will load upon selecting Help hypertext link.,F0_REQ_00035,SRS5 - LIS - Laboratory Information System.pdf
36,The system must allow users to easily navigate through each of the help topics by selecting a corresponding hypertext link provided in the left frame of the pop-up Help window.,F0_REQ_00036,SRS5 - LIS - Laboratory Information System.pdf
37,"The system shall display the [company name] logo in the top, right side of the screen on each of the help pages.",F0_REQ_00037,SRS5 - LIS - Laboratory Information System.pdf
38,The system must exhibit each of the help pages using the same color scheme and background as specified.,F0_REQ_00038,SRS5 - LIS - Laboratory Information System.pdf
39,The system shall provide searching ability to the users to quickly find specific topic material through the online help tool.,F0_REQ_00039,SRS5 - LIS - Laboratory Information System.pdf
40,The system shall provide an index to the users for a more in-depth search of topic contents through the online help tool.,F0_REQ_00040,SRS5 - LIS - Laboratory Information System.pdf
41,The system shall provide a Glossary for industry-related terms associated with [company name] and the [system name] system to the users through the online help tool.,F0_REQ_00041,SRS5 - LIS - Laboratory Information System.pdf
42,2.8 Interfaces 2.9 Applicable Standards HIPAA Compliance The system shall retain existing HIPAA compliance capabilities.,F0_REQ_00042,SRS5 - LIS - Laboratory Information System.pdf
43,The system shall follow HIPAA compliance capabilities in new functionality introduced to the Created on 7/15/2009 Page 11 of 12 Last modified on 6/17/2010 [Company logo] Functional Requirements Specification Information Technology 3 Glossary Description Created on 7/15/2009 Page 12 of 12 Last modified on 6/17/2010,F0_REQ_00043,SRS5 - LIS - Laboratory Information System.pdf
